,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1297901,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
56,"Before You Go","Lewis Capaldi",1286296,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
57,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1282693,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
58,"Lonely (with benny blanco)","Justin Bieber",1249246,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
59,"No Te Enamores - Remix",Milly,1212927,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
60,Goosebumps,HVME,1198809,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
61,willow,"Taylor Swift",1155495,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
62,"TE MUDASTE","Bad Bunny",1152723,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
63,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1139262,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
64,Afterglow,"Ed Sheeran",1137980,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
65,Circles,"Post Malone",1127743,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
66,"One More Time","Daft Punk",1123327,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
67,"death bed (coffee for your head)",Powfu,1117749,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
68,"lovely (with Khalid)","Billie Eilish",1114931,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
69,"Ropa Cara",Camilo,1109445,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
70,LOCATION,"KAROL G",1105433,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
71,"Holy (feat. Chance The Rapper)","Justin Bieber",1103977,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
72,"Relación - Remix",Sech,1100152,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
73,"Lucid Dreams","Juice WRLD",1098641,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
74,HOLIDAY,"Lil Nas X",1085539,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
75,"My Head & My Heart","Ava Max",1083225,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
76,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1081316,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
77,"The Hills","The Weeknd",1076350,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
78,Golden,"Harry Styles",1072659,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
79,goosebumps,"Travis Scott",1064775,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
80,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1055855,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
81,"Chica Ideal","Sebastian Yatra",1054437,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
82,Snowman,Sia,1041965,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
83,"Love Story (Taylor’s Version)","Taylor Swift",1037848,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
84,"Breaking Me",Topic,1035435,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
85,"At My Worst","Pink Sweat$",1032506,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
86,"Mi Niña",Wisin,1032356,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
87,"I Feel It Coming","The Weeknd",1030634,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
88,Shallow,"Lady Gaga",1029446,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
89,"Adore You","Harry Styles",1025336,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
90,Señorita,"Shawn Mendes",1024641,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
91,"The Box","Roddy Ricch",1024490,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
92,SugarCrash!,ElyOtto,1019206,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
93,BEBÉ,Camilo,1014751,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
94,"Life Goes On",BTS,1011554,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
95,Starboy,"The Weeknd",1008621,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
96,"Hasta Abajo","Kevin Roldan",1003934,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
97,Memories,"Maroon 5",999737,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
98,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,997757,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
99,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",996088,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
100,Believer,"Imagine Dragons",985693,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
101,"Wishing Well","Juice WRLD",977802,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
102,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",972134,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
103,"In Your Eyes","The Weeknd",971281,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
104,"bad guy","Billie Eilish",969378,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
105,"Say You Won't Let Go","James Arthur",961126,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
106,"Blueberry Faygo","Lil Mosey",960358,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
107,"Daddy Issues","The Neighbourhood",944409,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
108,"HIGHEST IN THE ROOM","Travis Scott",942622,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
109,Dior,"Pop Smoke",938370,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
110,"Instant Crush (feat. Julian Casablancas)","Daft Punk",934516,https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6
111,Fiel,"Los Legendarios",927767,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
112,Perfect,"Ed Sheeran",927019,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
113,"Take You Dancing","Jason Derulo",926691,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
114,"Train Wreck","James Arthur",924630,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
115,"Shape of You","Ed Sheeran",921919,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
116,"Take Me To Church",Hozier,913269,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
117,"Life Is Good (feat. Drake)",Future,911609,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
118,"Jocelyn Flores",XXXTENTACION,911120,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
119,Robbery,"Juice WRLD",907736,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
120,Polvo,"Nicky Jam",904720,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
121,"Why'd You Only Call Me When You're High?","Arctic Monkeys",901040,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
122,"La Tóxica",Farruko,896938,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
123,"Una Locura",Ozuna,891192,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
124,"Vida de Rico",Camilo,889142,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
125,"Break My Heart","Dua Lipa",888158,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
126,"Put Your Records On","Ritt Momney",885646,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
127,911,Sech,885519,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
128,"Do I Wanna Know?","Arctic Monkeys",881931,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
129,Falling,"Trevor Daniel",875314,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
130,"7 rings","Ariana Grande",875071,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
131,"All We Got (feat. KIDDO)","Robin Schulz",869867,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
132,"Come & Go (with Marshmello)","Juice WRLD",867415,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
133,"All Girls Are The Same","Juice WRLD",865315,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
134,"If the World Was Ending - feat. Julia Michaels","JP Saxe",861837,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
135,"Parce (feat. Justin Quiles)",Maluma,861138,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
136,"All of Me","John Legend",857082,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
137,"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Daft Punk",855709,https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof
138,"my ex's best friend (with blackbear)","Machine Gun Kelly",853760,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
139,Hayloft,"Mother Mother",852176,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
140,"Stuck with U (with Justin Bieber)","Ariana Grande",852077,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
141,"Ride It",Regard,849692,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
142,"Martin & Gina","Polo G",842942,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
143,"Dreams - 2004 Remaster","Fleetwood Mac",841662,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
144,"Se Te Nota (with Guaynaa)","Lele Pons",839384,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
145,"SICKO MODE","Travis Scott",834629,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
146,"Bohemian Rhapsody - Remastered 2011",Queen,831485,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
147,"La Curiosidad","Jay Wheeler",831466,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
148,Falling,"Harry Styles",828566,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
149,"Harder, Better, Faster, Stronger","Daft Punk",825113,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn
150,"Rain On Me (with Ariana Grande)","Lady Gaga",820690,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
151,SAD!,XXXTENTACION,819518,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
152,"Love Not War (The Tampa Beat)","Jason Derulo",817528,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
153,"Godzilla (feat. Juice WRLD)",Eminem,814507,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
154,"POPSTAR (feat. Drake)","DJ Khaled",811808,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
155,Tusa,"KAROL G",808538,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
156,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,807349,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
157,Wonder,"Shawn Mendes",806834,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
158,Antes,"Anuel AA",802825,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
159,Yellow,Coldplay,802643,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
160,"SO DONE","The Kid LAROI",799128,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
161,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande",792307,https://open.spotify.com/track/2sQH02O2HBCPJCztBrCWNa
162,"Mood Swings (feat. Lil Tjay)","Pop Smoke",792081,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
163,"Ponte Pa' Mi","Justin Quiles",790706,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
